store_id,store_name,store_address,telephone_number,fax_number,email,url,customer_delivery_time,store_location,created_at
AR00027,บุญดิ เภสัช (1),87 ม.5 ต.แสงสว่าง อ.หนองแสง จ.อุดรธานี 41340,0849107044/0614671221แอพ+ไลน์,ไม่เกิน18.00น.,,https://goo.gl/maps/RSuzdhbVDynk9DDE7,,"17.138656, 102.789011",7/30/2024 21:13:09
AR00029,น้องอาจารย์สมควร,,,,,,,,7/30/2024 21:13:09
AR00030,เฮียเฒ่า,,,,,,,,7/30/2024 21:13:09
AR00032,อ.ดา,,,,,,,,7/30/2024 21:13:09
AR00033,ตังตัง(3),,0991494179/0868166971,,,https://goo.gl/maps/22we4Y9LTGdPJLXy6,,"16.973697, 103.221916",7/30/2024 21:13:09
AR00034,หจก.สุวรรณเรืองบริการ,182 หมู่ 11 ต.จำปี อ.ศรีธาตุ จ.อุดรธานี,966914939,,,https://goo.gl/maps/wdEuUsJRY3P8ShFZ8,,"16.958728, 103.164199",7/30/2024 21:13:09
AR00035,พี่ไก่กุ๊กกุ๊ก (1),,847714937,ไม่เกิน 18.00น.,,https://goo.gl/maps/HnfnQQD7zHTe2C337,,"17.138823, 102.789160",7/30/2024 21:13:09
AR00037,วงษ์พาณิชย์ สาขากุมภวาปี,,,,,,,,7/30/2024 21:13:09
AR00039,หจก.หลินปิง,,660519990,,,,,,7/30/2024 21:13:09
AR00041,ประจวบ (1),,0805654815/แอพ+ไลน์,ไม่เกิน 18.00น.,,https://goo.gl/maps/kce3aQEBnuLu55T76,,"17.143351, 102.851075",7/30/2024 21:13:09
AR00042,ไอรีส,,,,,,,,7/30/2024 21:13:09
AR00043,น้ำพอง,,,,,,,,7/30/2024 21:13:09
AR00044,ร้านละมัย (พี่นิด ศรีธาตุ)(3),103 หมู่ที่10 บ้านไหม่ไทรทอง ตำบลตาดทอง อำเภอศรีธาตุ จังหวัดอุดรธานี,870424548,ไม่เกิน 19.00น,,https://goo.gl/maps/qeM4cWXSQuyFGeqX7,,"17.051821, 103.136011",7/30/2024 21:13:09
AR00045,ป.วัฒนะ,,883002492,,,,,,7/30/2024 21:13:09
AR00047,แม่พร เหล่าหมากบ้า(3),,816010043,ไม่เกิน 18.00น.,,https://goo.gl/maps/MuFEMCGS8VmW6ywDA,,"17.159661, 103.059011",7/30/2024 21:13:09
AR00048,นายบวร ไชยสิทธิ์ (บวรพานิช) (1),เลขที่ 6 ม.5 บ.นาเหล่า ต.หนองกุงศรี อ.โนนสะอาด จ.อุดรธานี 41240,0857544552/แอพ+ไลน์,ไม่เกิน 20.00น.,,https://goo.gl/maps/RFDdutFLVU16z5ix5,,"17.060987, 102.787043",7/30/2024 21:13:09
AR00049,เฮียนพดล (ตลาดเมืองเก่า),,0819752357/0898401430,,,https://goo.gl/maps/FFYBRMzdPTbwNNuN8,,"17.129692, 102.967440",7/30/2024 21:13:09
AR00050,[เอส ที การค้า] นาง รัตนา วังสีรัง (2),243 ม.6 ต.โนนสะอาด อ.โนนสะอาด จ.อุดรธานี 41240,892591925,ไม่เกิน 18.00น.,,https://goo.gl/maps/kgSJNze4WnV9qgTt8,,"16.969651, 102.915968",7/30/2024 21:13:09
AR00051,นิยม (สุภารัตน์ ธรรมจิตร์)(3),51 ม.12 บ.ศรีนคร ต.ศรีธาตุ อ.ศรีธาตุ จ.อุดรธานี 41230,0897109754/0990325612,16.00-17.00น.,,https://goo.gl/maps/22we4Y9LTGdPJLXy6,,"16.973666, 103.221948",7/30/2024 21:13:09
AR00052,พี่เอ๋ บ้านกงพาน,,900879023,,,https://goo.gl/maps/MvhMzZfhb34Sbw3M6,,"17.130432, 102.967588",7/30/2024 21:13:09
AR00054,ธวัชชัย น้อยชนะ,52 หมู่ที่ 1 ต.หนองแสง อ.หนองแสง จ.อุดระานี 41340 ต.หนองแสง อ.หนองแสง จ.อุดรธานี 41340,868581512,,,,,,7/30/2024 21:13:09
AR00055,กองทุนหมู่บ้านทับกุง หมู่ที่1 (1),กองทุนหมู่บ้านทับกุง หมูุ่ที่1 ตำบลทับกุง อำเภอหนองแสง จังหวัดอุดรธานี,0871779065//แอพ+ไลน์,,,https://goo.gl/maps/ihkhp2p9U2TgamB99,,"17.176665, 102.771809",7/30/2024 21:13:09
AR00056,ลูกค้าส่งทั่วไป,,,,,,,,7/30/2024 21:13:09
AR00057,วิบูลย์ บุญยะศาสตร์,581/16 ม.5 ต.พยอม อ.วังน้อย จ.พระนครศรีอยุธยา 13170,0898459952/0993965189,,,,,,7/30/2024 21:13:09
AR00059,แม่อัมพร ศรีวิเศษ,บ้านหนองแวง ม.6 ต.ผาสุก อ.กุมภวาปี จ.อุดรธานี,852428145,,,,,,7/30/2024 21:13:09
AR00060,จันทร์เพ็ญ,,887381047,,,https://goo.gl/maps/NT15DpdcAr5RDMvh6,,"17.169577, 103.160686",7/30/2024 21:13:09
AR00061,พ่อสุภาพ,บ้านสงเปลือย,845778235,,,,,,7/30/2024 21:13:09
AR00062,บจก. อุดรเอ็มอาร์ที 2019 (สำนักงานใหญ่),354/1 หมู่ที่ 1 ซอยบ้านหนองบัว ตำบลหมากแข้ง อำเภอ เมืองอุดรธานี จ.อุดรธานี 41000,866322345,,,,,"17.370348, 102.811781",7/30/2024 21:13:09
AR00063,อาทิวราภรณ์ (4),266 ม.8 ต.กุงเก่า อ.ท่าคันโท จ.กาฬสินธุ์,934439622,ไม่เกิน 16.00,,https://goo.gl/maps/jp8fQhzzCNMoqC8B7,,"16.908572, 103.167032",7/30/2024 21:13:09
AR00065,สาครพานิชย์ (2),90/1 หมู่3 บ.ทมป่าข่า ต.ทมงาม อ.โนนสะอาด จ.อุดรธานี,833399211,,,https://goo.gl/maps/Gc9G3hGSKN5E1muz7,,"16.909793, 103.004011",7/30/2024 21:13:09
AR00067,9***,,849113116,,,,,,7/30/2024 21:13:09
AR00068,บริษัท ชัยอุดมสิน โปรดิวส์ จำกัด (สาขาที่ 0001),5/7 ม.11 ต.กุดน้อย อ.สีคิ้ว จ.นครราชสีมา 30140,,,,,,,7/30/2024 21:13:09
AR00069,ต๋อยปาท่องโก๋ (ตลาดเมืองเก่า),,804032433,,,,,"17.128405, 102.964599",7/30/2024 21:13:09
AR00070,สมบัติการค้า,เลขที่ 80 หมู่ 9 บ้านตะเคียนทอง ต.บ้านโปร่ง อ.ศรีธาตุ จ.อุดรธานี,930922837,,,https://goo.gl/maps/ovL4SFw9E9XCdfYX9,,"17.020041, 103.128054",7/30/2024 21:13:09
AR00071,ห่อเงิน (3),154 หมู่1 ต.เวียงคำ อ.กุมภวาปี จ.อุดรธานี,636232445,ไม่เกิน18.00น.,,https://goo.gl/maps/AJx3o9GbqKL7eqWv7,,"17.116098, 103.032021",7/30/2024 21:13:09
AR00074,ขายสินค้า-บริการ,,,,,,,,7/30/2024 21:13:09
AR00075,ทดสอบ 1,,910502532,,,https://goo.gl/maps/eKFYdzQyD68wZhrg6,,,7/30/2024 21:13:09
AR00076,พี่เดือน (3),บ้านหนองแวง,934344192,ไม่เกิน 17.00น.,,https://goo.gl/maps/wkeJHcbv2unbFjkc6,,"17.175072, 103.069968",7/30/2024 21:13:09
AR00077,ไทยเจริญ (3),ศรีธาตุ[เจ้ต้อย],0880276531/0804199080,ไม่เกิน19.00น.,,https://goo.gl/maps/MvdWirnBXDDvzAAx7,,"16.973721, 103.220989",7/30/2024 21:13:09
AR00078,ท่ายม (1),,908542814,ไม่เกิน 18.00 น.,,https://goo.gl/maps/gffeLVY7o46W6Cxc8,,"17.139190, 102.785011",7/30/2024 21:13:09
AR00079,แม่เนตร บ.กุดขอนแก่น(4),10 ม.9 ต.กุงเก่า อ.ท่าคันโท จ.กาฬสินธุ์,0813921892,,,https://maps.app.goo.gl/Lb5uTYFMDa7d5V516,,"16.950012, 103.173865",7/30/2024 21:13:09
AR00080,ทรัพย์มงคล (5),,,,,,,,7/30/2024 21:13:09
AR00082,หนูเตียม ศรีโมง (หนูเตียมพานิชย์),83 หมู่ที่8 ตำบลโพธิ์ศรีสำราญ อำเภอโนนสะอาด จังหวัดอุดรธานี,0915844533/ไลน์,ไม่เกิน 18.00น.,,https://goo.gl/maps/7tSRA362Gdp963LSA,,"16.948334, 102.852054",7/30/2024 21:13:09
AR00083,ต๋อง,,981023980,,,,,,7/30/2024 21:13:09
AR00085,ยายคำป่น (5),,621019572,,,https://goo.gl/maps/JSnHoZrLhRFeAsH1A,,"17.164890, 102.933000",7/30/2024 21:13:09
AR00086,ยายติ๋งปากหวาน,บ้านนาดี,0934745419/0845136824,ไม่เกิน 20.00น.,,https://goo.gl/maps/auhde79MYUZbZhBZ9,,"17.070500, 102.856600",7/30/2024 21:13:09
AR00087,วัดบูรพาบ้านท่าลี่ ศรีสุข,,,,,https://goo.gl/maps/fXbuJRtNd83FVNdB7,,"16.977358, 103.080060",7/30/2024 21:13:09
AR00088,สัมฤทธิ์ มิตรภาพ(ยายปราณี) (2),166 หมู่ 13 ต.บุ่งแก้ว อ.โนนสะอาด จ.อุดรธานี ต.บุ่งแก้ว อ.โนนสะอาด จ.อุดรธานี 41240,0927069298/0801999504,ไม่เกิน 19.00น.,,https://goo.gl/maps/JQj6UWqZXFHi6R49A,,"16.969544, 102.956560",7/30/2024 21:13:09
AR00089,น.ส.อารี บุญญวัฒน์วณิชย์ / ร้าน 148 (1),เลขที่ 148 หมู่ 2 ต.นาดี อ.หนองแสง จ.อุดรธานี,0985853847/ไลน์สั่งเอง,ไม่เกิน 18.00น.,,https://goo.gl/maps/frnaThj7wkBysuHMA,,"17.080819, 102.861126",7/30/2024 21:13:09
AR00091,แม่นาง หนองแวง (2),,941719180,ไม่เกิน 19.00น.,,,,,7/30/2024 21:13:09
AR00094,ตาประดิษ ท่าสัง (2),,886471569,ไม่เกิน 19.00น.,,https://maps.app.goo.gl/vU3c3UonBFTzvhVv6,,"17.046047, 103.028990",7/30/2024 21:13:09
AR00095,ตาโกเมศ ท่าสัง (2),,651021227,ไม่เกิน 18.00น.,,https://goo.gl/maps/gnmCKUfwGFdHu7oP8,,"17.045913, 103.029968",7/30/2024 21:13:09
AR00096,แม่บัวผัน หนองแดง (2),บ้านหนองแดง ต.สีออ,0847924933/0818727299,ไม่เกิน 16.00น.,,https://goo.gl/maps/Fkn99rgbWnL6Ms7o8,,"17.028990, 103.027893",7/30/2024 21:13:09
AR00097,พี่เอี้ยง หนองกวาง (2),,816873747,ไม่เกิน 20.00น.,,https://goo.gl/maps/3rsy3PgibNwLPZ6F7,,"17.007841, 103.049000",7/30/2024 21:13:09
AR00101,กิลาภรณ์ คำพันธ์/แม่พร กุดยาง (2),18 หมู่ 12 ต.ท่าลี่ อ.กุมภวาปี จ.อุดรธานี,0811863959/0935085774/0924979237,ไม่เกิน 18.00,,https://goo.gl/maps/DL58BZWWeh5FXS6D9,,"16.955910, 103.044520",7/30/2024 21:13:09
AR00102,ร้านมานา (ราชพฤกษ์เก่า) (2),206 7หมู่2 ต.ท่าลี่ อ.กุมภวาปี จ.อุดรธานี 41110,834645382,ไม่เกิน 18.00น.,,https://goo.gl/maps/iiGgTDBRZGKkeXfF8,,"16.954697, 103.042348",7/30/2024 21:13:09
AR00104,พี่หนิง กุดยาง [เจ้หนิงไก่สด],165 ม.2 บ.กุดยาง ต.ท่าลี อ.กุมภวาปี จ.อุดรธานี 41110,833521839,ไม่เกิน 20.00น.,,https://goo.gl/maps/WfN96DC5o8ZFyeuMA,,"16.952877, 103.041106",7/30/2024 21:13:09
AR00105,พันปี โนนสำราญ (1),,860250401,ไม่เกิน 18.00น.,,https://goo.gl/maps/W2cMb1rpUyKXZZzB7,,"17.041941, 102.925011",7/30/2024 21:13:09
AR00107,นางรจนา นาถมทอง(พี่รส) (2),53 หมู่ที่8 ตำบลบุ่งแก้ว อำเภอโนนสะอาด จังหวัดอุดรธานี,982097535,ไม่เกิน 20.00น.,,https://goo.gl/maps/5XeUWAWCcf2G8Ubd7,,"16.951021, 103.025979",7/30/2024 21:13:09
AR00108,พ่อสมบูรณ์ บ้านโนนสำราญ (2),,810610377,ไม่เกิน 20.00น.,,https://goo.gl/maps/jQRW8qHrB4zu1d259,,"16.970490, 102.975011",7/30/2024 21:13:09
AR00109,แม่แสง บ.โพธิ์สง่า,22 หมู่ 12 บ้านโพธิ์สง่า,981107280,,,,,,7/30/2024 21:13:09
AR00110,ส.เจริญ โนนสวรรค์ (2),,0878546740/0829316041,ไม่เกิน 18.00น.,,https://goo.gl/maps/jjDxUjgtg6ZjTtir8,,"16.922731, 103.053000",7/30/2024 21:13:09
AR00111,พรทิพย์ ทัพโยธา/ยายจ่อย เหล่าหมากจันทร์ (2),163 หมู่ 3 บ้านเหล่าหมากจันทร์ ต.ท่าลี่ อ.กุมภวาปี จ.อุดรธานี,983089424,ไม่เกิน 19.00,,https://goo.gl/maps/mTF8UD85MP2RN6oBA,,"16.922488, 103.039778",7/30/2024 21:13:09
AR00112,แม่หนอม นาเพ็ญ,,934191567,,,,,,7/30/2024 21:13:09
AR00113,ไมลี่คาเฟ่ สายวิ่ง จันทร์-ศุกร์,,,,,,,,7/30/2024 21:13:09
AR00114,ไมลี่ชาบู สายวิ่ง จันทร์-ศุกร์,,,,,,,,7/30/2024 21:13:09
AR00115,แม่ลำพร ท่าลี่ สายวิ่ง จันทร์-ศุกร์ (2),,984101341,,,,,,7/30/2024 21:13:09
AR00117,แม่วา บ้านผือ (1),,,,,,,,7/30/2024 21:13:09
AR00118,พ่อสมจิตร ทับกุง (1),,821073175,ไม่เกิน 18.00น.,,https://goo.gl/maps/nS56RaMDU1ioi6j39,,"17.174080, 102.774740",7/30/2024 21:13:09
AR00120,พี่มี ทับกุง (1),,895774415,ไม่เกิน 18.00น.,,https://goo.gl/maps/9wE2uoVdMZ5pD3Rt7,,"17.168661, 102.775979",7/30/2024 21:13:09
AR00121,ร้านค้าชุมชนประชารัฐโนนดินแดง (1),,0828234339/0625203551,ไม่เกิน 18.00,,https://goo.gl/maps/FXu7RBhAbM27wC1c8,,"17.139183, 102.848030",7/30/2024 21:13:09
AR00122,ร้านณิชมน ใจสามารถ [แม่หวาน หนองแสง],135 ม.1 ต.หนองแสง อ.หนองแสง จ.อุดรธานี 41340,885161788,,,https://goo.gl/maps/qYwpUj7Agp9rVtoj8,,"17.146111, 102.851936",7/30/2024 21:13:09
AR00123,โรงสีม้าขาว,เลขที่ 133 หมู่ 17 ต.เวียงคำ อ.กุมภวาปี อุดรธานี 41110,981024378,,,https://maps.app.goo.gl/EoprfpSgPHtFbCWi8,,"17.117908, 103.046048",7/30/2024 21:13:09
AR00124,แม่อ๋อย โคกสว่าง (1),147 หมู่ 5 บ้านโคกสว่าง ต.หนองแสง อ.หนองแสง 41340,635904497,ไม่เกิน19.00น.,,https://goo.gl/maps/jRP93myrUbBHxsc96,,"17.188957, 102.843198",7/30/2024 21:13:09
AR00125,พี่หน่อย บ้านดง (1),,953503057,ไม่เกิน 19.00น.,,https://maps.app.goo.gl/8HoXboU7XGQpbCz69,,"17.157551, 102.831002",7/30/2024 21:13:09
AR00126,พี่ตุ๋ย บ้านดง (1),,0621547925/ไลน์,ไม่เกิน 19.00น.,,https://goo.gl/maps/dC7juZ9oTz7V3eT2A,,"17.160851, 102.827043",7/30/2024 21:13:09
AR00128,ร้านแสงประเสริฐ/ทับกุง (1),88 ต.ทับกุง อ.หนองแสง จ.อุดรธานี,0655818892/0813910424,ไม่เกิน18.00น.,,https://goo.gl/maps/dkg4rYxsoySTGv3y5,,"17.170800, 102.769989",7/30/2024 21:13:09
AR00130,แม่เครือ ทับกุง หมู่ 1 (1),,934157533,ไม่เกิน 15.00น,,https://goo.gl/maps/y8H1Xws5QA3hDKdc9,,"17.174851, 102.770000",7/30/2024 21:13:09
AR00131,บุญยง ทับกุง สายวิ่ง พุธ-อาทิตย์ ปิดกิจการ,,880642835,,,,,,7/30/2024 21:13:09
AR00132,แม่สมร คำหว้าทอง (1),,652572514,ไม่เกิน 19.00น.,,https://goo.gl/maps/h23GrjcmDHwuXJ5n7,,"17.156220, 102.787925",7/30/2024 21:13:09
AR00133,แม่เที่ยง ท่ายม [เปลี่ยนเจ้าใหม่],,861709323,,,https://goo.gl/maps/PJJzePwzJAP6oGJd9,,"17.139946, 102.786990",7/30/2024 21:13:09
AR00136,พี่ละมัย ท่าสี (1),,833528563,ไม่เกิน 18.00 น,,https://goo.gl/maps/VKWcY4USpqfnzraG6,,"17.128610, 102.781989",7/30/2024 21:13:09
AR00137,พ่อใส ดงน้อย (1),,0628900588/หน้าร้าน,,,,,,7/30/2024 21:13:09
AR00138,นางแอ๊ด เตรียมตัว (แม่แอด แสงทอง) (1),22 หมู่ที่6 ตำบลหนองแสง อำเภอหนองแสง จังหวัดอุดรธานี,612934769,ไม่เกิน 18.00น,,https://goo.gl/maps/SoBuXBNPRkgS5CNn6,,"17.146602, 102.850043",7/30/2024 21:13:09
AR00139,นางสาวพจนา จำปาวัตตะ (สมหมายการค้า) (1),376 หมู่ 3 ต.ทับกุง อ.หนองแสง จ.อุดรธานี 41340 41340,985979209,ไม่เกิน 20.00น,yingangel1111@gmail.com,https://goo.gl/maps/8A3ZVn2QtfuR4W3P8,,"17.171558, 102.767979",7/30/2024 21:13:09
AR00140,แม่ตุ๊ก ม.ดินแดง,,819547773,,,,,,7/30/2024 21:13:09
AR00141,เฟริส แอนด์ เกรซ,,850475198,บ่าย3-บ่าย4,,https://goo.gl/maps/8SBty3mE3KiZ4t1h9,,"17.173554, 102.803349",7/30/2024 21:13:09
AR00142,นางอนงค์ ถินทะสิทธิ์/หนองบัว (1),46 ม.9 อ.หนองแสง จ.อุดรธานี,0610975318,ไม่เกิน 19.00น.,,https://goo.gl/maps/XMiZsWyf1gSd6YZu6,,"17.105141, 102.884000",7/30/2024 21:13:09
AR00143,ร้านอุไรลักษ์ บ้านดงเรือง (5),บ.ดงเรือง,872182045,ไม่เกิน 19.00น.,,https://goo.gl/maps/Y4gk7wsxobQVHWB77,,"17.165320, 102.960936",7/30/2024 21:13:09
AR00145,พี่บุปผา โพนทอง (5),,811858065,ไม่เกิน 18.00 น,,https://goo.gl/maps/Mpg8tMSYt4FaorYGA,,"17.240487, 103.064823",7/30/2024 21:13:09
AR00146,ตลาดเพชรโพนทอง,,0956715331,,,https://goo.gl/maps/6ugJ3w5GSuLkAZcJ8,,"17.241551, 103.068032",7/30/2024 21:13:09
AR00147,นายฉัตรพร สีเหลือง (สองบุญ) (5),32 หมู่ที่5 ตำบลอุ่มจาน อำเภอประจักษ์ศิลปาคม จังหวัดอุดรธานี,615097819,ไม่เกิน16.00น.,,https://goo.gl/maps/dtqgVnQWLSs79Atk8,,"17.240351, 103.066968",7/30/2024 21:13:09
AR00148,พี่น้ำฝน บ.โคกน้อย,20 ม.14 บ.โคกน้อย ต.จำปี อ.ศรีธาตุ,982105824,,,,,,7/30/2024 21:13:09
AR00149,ประชารัฐ น้ำเที่ยง (5),,981277977,ไม่เกิน 20.00น.,,https://goo.gl/maps/goYU5EzdQTS1fQVw6,,"17.261331, 103.035968",7/30/2024 21:13:09
AR00150,แม่พรไพร สวนม่อน (5),,879516269,ไม่เกิน19.00น.,,https://goo.gl/maps/83tj1AZMBDPAYw9FA,,"17.232851, 103.025043",7/30/2024 21:13:09
AR00153,แม่นาง บ้านหมากบ้า (5),บ้านหมากบ้า,924500416,ไม่เกิน 18.00น.,,https://goo.gl/maps/noJD8nCXveF8Lf7h6,,"17.198831, 102.976957",7/30/2024 21:13:09
AR00154,พ่อสุบิน โคกกลาง (5),บ้านโคกกลาง ต.นาม่วง อ.ประจักษ์,0913644478//0649791730,ไม่เกิน 17.00น,,https://goo.gl/maps/9EJK1aph5oyxLZtq6,,"17.206710, 102.962968",7/30/2024 21:13:09
AR00155,แม่ทองหนุน โนนสา (5),,612321394,ไม่เกิน 20.00น.,,https://goo.gl/maps/rgWmSNvLhz5WbTAU6,,"17.216057, 102.992989",7/30/2024 21:13:09
AR00156,แม่รัตน์ นาม่วง (5),,652560433,ไม่เกิน18.00น.,,https://goo.gl/maps/ajBtTcQQyQcWdadN8,,"17.237792, 103.010043",7/30/2024 21:13:09
AR00157,หจก. มนุชศรา ค้าส่ง (5),106 หมู่3 ตำบลนาม่วง อำเภอประจักษ์ศิลปาคม จังหวัดอุดรธานี 41110,819542363,ไม่เกิน 19.00น,,,,,7/30/2024 21:13:09
AR00158,แม่ไพร ดอนม่วง (5),,872309812,ไม่เกิน 20.00น.,,https://goo.gl/maps/QGrjLKophzfbrkiy5,,"17.265270, 103.004925",7/30/2024 21:13:09
AR00159,แม่เพ็ญ โนนสะแหวง (5),,616321049,ไม่เกิน 18.00 น.,,https://goo.gl/maps/o52JJdwpfFaJBD5V7,,"17.253002, 102.980979",7/30/2024 21:13:09
AR00160,แม่แอด บ้านหนองแก (5),บ้านหนองแก,621127341,ไม่เกิน 18.00น.,,https://goo.gl/maps/9aKrSVY3TjmH9eBd6,,"17.208382, 102.956054",7/30/2024 21:13:09
AR00161,สนามชนไก่ หนองกวาง,,933753305,,,,,,7/30/2024 21:13:09
AR00162,นางอำพร เหง้าพรหมมินทร์,,899407201,,,https://maps.app.goo.gl/St2CQVW9yFbZZLodA,,"17.179403, 102.900090",7/30/2024 21:13:09
AR00164,โชคสนั่น (2),,821122769,ไม่เกิน 20.00น.,,https://goo.gl/maps/C6HzFfVdYgm6P5RF9,,"16.962741, 103.074946",7/30/2024 21:13:09
AR00165,ห้างหุ้นส่วนจำกัด บุญพาณิชย์ 2564 (4),90/1 ม.1 ต.ท่าคันโท อ.ท่าคันโท จ.กาฬสินธุ์ 46190,832425079,,,https://goo.gl/maps/vJ7hcZDeqDtDi4Ab6,,"16.938662, 103.232054",7/30/2024 21:13:09
AR00166,ยายเสาร์ร้านเหลือง (5),สะอาดนามูล,981186274,,,https://goo.gl/maps/wFraip1v453gQHRr5,,"17.229723, 102.936674",7/30/2024 21:13:09
AR00167,ตานง,สงเปลือย,833602028,,,,,,7/30/2024 21:13:09
AR00168,วังชัยพานิชย์ ไม่รู้จัก,ห้วยเกิ้ง,,,,,,,7/30/2024 21:13:09
AR00170,พี่ไก่กุมภวาปีจ้า (1),,644913795,ไม่เกิน17.00น.,,,,"17.110127, 103.013119",7/30/2024 21:13:09
AR00171,แม่ใบ (1),หมู่ 8 บ้านดงเมือง อ.กุมภวาปี,897121545,ไม่เกิน19.00น.,,https://goo.gl/maps/wG2fLnRFKrKsh2JL9,,"17.113172, 103.011531",7/30/2024 21:13:09
AR00172,เจ้อร(4),,0857460530/ไลน์,ไม่เกิน18.00น.,,https://goo.gl/maps/kAnMPAVZ1cWqnE9F6,,"16.936813, 103.241032",7/30/2024 21:13:09
AR00173,หจก.ชัยพร ท่าคันโท,56 ม.8 ต.ท่าคันโท อ.ท่าคันโท จ.กาฬสินธุ์ 46190,892778721,ไม่เกิน 18.00น.,,https://goo.gl/maps/yfuerhrJCaiDk8nR8,,"16.938504, 103.231093",7/30/2024 21:13:09
AR00174,น.ส.มะณีกรร ชินวิ (ร้านวันดี ซุปเปอร์) (3),76 ม.13 ต.จำปี อ.ศรีธาตุ จ.อุดรธานี 41230,098-9269289 / ไลน์,ไม่เกิน18.00น.,,https://goo.gl/maps/ZGpCTmT3MbG98pWz5,,"16.980759, 103.186126",7/30/2024 21:13:09
AR00175,ทองล้วนการค้า (2),31 หมู่ 7 บ้านคำร่อง ตำบลท่าลี่ อำเภอกุมภวาปี จังหวัดอุดรธานี,0973043411/0963182525,,,https://goo.gl/maps/itt5bffmPxrgWv6z9,,"16.930356, 103.031968",7/30/2024 21:13:09
AR00176,พี่อวย,,,,,,,,7/30/2024 21:13:09
AR00177,นางสาวคนา จิตธรรมมา (ร้านจิตธรรมา)(2),254 ม.3 ต.หนองหว้า อ.กุมภวาปี จ.อุดรธานี 41110,895743550,,,https://goo.gl/maps/HCR56VTsgzY6sde69,,"17.059751, 103.016021",7/30/2024 21:13:09
AR00178,โจโจ้โดนัท,ซอยประปา,878585457,,,,,,7/30/2024 21:13:09
AR00179,มอสมินิมาร์ท (5),หมู่ที่ 12 บ้านทุ่งสว่าง ต.พังงู อ.หนองหาน จ.อุดรธานี 41130,969747370,ไม่เกิน 19.00 น.,,,,,7/30/2024 21:13:09
AR00180,โอ๋นาม่อง,,,,,,,,7/30/2024 21:13:09
AR00183,ป๋าสง่า ขอนแก่น,,,,,,,,7/30/2024 21:13:09
AR00184,แสงสิริ (1),,945318995,ไม่เกิน 18.00น.,,https://goo.gl/maps/t92ahjvonuEetMdQ8,,"17.168479, 102.775064",7/30/2024 21:13:09
